,name,search_count,ID,Team,status,total_earn
0,Egor Zhabotinskii,52600,.Ark,,"Active
",6529.0
1,Jon Andersen,45100000,13abyKnight,,"Active
",101159.0
2,Sivatheeban Sivanathapillai,1020,1437,TNC Tiger,"Active
",193527.0
3,Zeng Chen,914000,290,PiPiXia,"Active
",2869.0
4,James Harding,6830000,2GD,,"Inactive
",
5,Chang Tu Hai,521000,2hoi,XCN Gaming,"Active
",1827.0
6,Neta Shapira,16700,33,OpTic Gaming,"Active
",136800.0
7,Adriano de Paula Machado,230000,4dr,SG e-sports,"Active
",67777.0
8,Yang Huaining,196000,5400,,"Active
",407.0
9,Stanislav Glushan,26300,633,ESPADA,"Active
",58995.0
10,Tang Wenyi,65300,71,Mineski,"Active
",
11,Sébastien Debs,21600,7ckngMad,OG,"Active
",76998.0
12,Zou Yitian,31600,820,Old Boys,"Retired
",62466.0
13,Chen Yuxuan,148000,86,Keen Gaming.Luminous,"Active
",2495.0
14,Liu Yufeng,119000,876,Brave Heart,"Active
",4420.0
15,Tang Zhirui,51300,897,Team MAX,"Active
",6814.0
16,Pavel Khvastunov,81600,9pasha,Virtus.pro,"Active
",1079009.0
17,Gao Tianpeng,30400,@dogf1ghts,iG Vitality,"Active
",174952.0
18,Chanon Chiwpreecha,72400,aabBAA,,"Active
",12090.0
19,Avelino Parungao,19500,Ab1ng,DeToNator,"Active
",2362.0
20,Abed Azel L. Yusop,6160,Abed,Fnatic,"Active
",180000.0
21,Christian Cruz,18800000,Accel,Infamous,"Active
",81486.0
22,Marcus Hoelgaard,103000,Ace,Team Secret,"Active
",347511.0
23,Adam Erwann Shah bin Akhtar Hussein,12500,Adam,compLexity Gaming,"Active
",359101.0
24,Henrik Ahnberg,21900,AdmiralBulldog,Alliance,"Retired
",627364.0
25,Igor Kalnysh,62600,Admiration,,"Inactive
",730.0
26,Chen Yingdong,132000,Adong,,"Active
",6215.0
27,Ahmad Syazwan bin Anuar,13100,ADTR,,"Active
",2284.0
28,Andrey Afonin,179000,Afoninje,,"Active
",26195.0
29,Mohammad Khalil Ibrahim Abu Al Eis,789000,AfrOmoush,,"Active
",16383.0
30,Vasily Shishkin,86100,AfterLife,,"Active
",51661.0
31,Sun Zheng,2060000,Agressif,Invictus Gaming,"Active
",862203.0
32,Tue Soon Chuan,39400,ah fu,LGD.Forever Young,"Active
",600909.0
33,Lai Jay Son,92300,Ahjit,Clutch Gamers,"Active
",63150.0
34,Yin Yuxiao,64200,Air,,"Inactive
",39649.0
35,Joakim Akterhall,17300,Akke,,"Active
",637918.0
36,Alexander Reinhardt,920000,Alex,,"Retired
",2030.0
37,Ilya Korobkin,123000,ALOHADANCE,,"Active
",150383.0
38,Andrey Bondarenko,304000,ALWAYSWANNAFLY,FlyToMoon,"Active
",204759.0
39,Wang Chunyu,108000,Ame,PSG.LGD,"Active
",661706.0
40,Michael German,45900000,amoment,,"Active
",269.0
41,Anathan Pham,25100,ana,OG,"Active
",607528.0
42,Annie LeClair,81500,AnneeDroid,,"Retired
",
43,Wang Wenjun,173000,Another,Taichi Gaming,"Active
",2050.0
44,Joel Larsson,350000,Apemother,,"Inactive
",12024.0
45,Turtoi Ionut,13600,Arise,,"Active
",19371.0
46,Ariunbolor Altantsetseg,1240,Ariunbolor,The Mongolz,"Active
",506.0
47,Armel Paul Tabios,5830,Armel,TNC Pro Team,"Active
",46906.0
48,Danilo Silva,1430000,Arms,,"Active
",73689.0
49,Danilo Silva,1430000,Nedbone,Stars,,
50,Sergey Revin,148000,ARS-ART,,"Retired
",83085.0
51,Arseniy Usov,20200,ArsZeeqq,Team Empire,"Active
",10867.0
52,Artour Babaev,51600,Arteezy,Evil Geniuses,"Active
",1287837.0
53,Artem Gorobey,51800,Artes,,"Active
",19819.0
54,Ivan Antonov,370000,Artstyle,Virtus.pro,"Active
",356581.0
55,Mohammed Almheiri,27100,Attacker,,"Active
",100.0
56,Juan Ochoa,1790000,Atun,Thunder Predator,"Active
",10973.0
57,Marcel Binz,46400,Atze,,"Inactive
",969.0
58,Kurtis Daniel Ling,23400,Aui_2000,Fnatic,"Active
",1973100.0
59,Joshua Lee,22900000,AutumnWindz,,"Active
",
60,Adit Rosenda,12500,Aville,EVOS Esports,"Active
",3340.0
61,Ye Jing,1340000,Awoke,,"Retired
",5000.0
62,Dmitry Morozov,291000,Ax.Mo,,"ActiveUCC Banned
",6587.0
63,Bi Xia,837000,Axx,Newbee Boss,"Active
",
64,Bogdan Boychuk,45000,Axypa,,"Retired
",50.0
65,Aaron Chambers,2600000,Ayesee,,"Inactive
",
66,Fan Tianyou,1120000,Ayo,Rock.Y,"ActiveMars Media Banned
",63673.0
67,Scott Jensen,6880000,B,,"Active
",8688.0
68,Aleksey Bafadarov,102000,BafiK,,"Active
",
69,Thárcio Medeiros,16400,Baga,,"Active
",11269.0
