,player_id,status,total_earn
0,.Ark,"Active
",6529
1,13abyKnight,"Active
",101159
2,1437,"Active
",193527
3,290,"Active
",2869
4,2GD,"Inactive
",
5,2hoi,"Active
",1827
6,33,"Active
",136800
7,4dr,"Active
",67777
8,5400,"Active
",407
9,633,"Active
",58995
10,71,"Active
",
11,7ckngMad,"Active
",76998
12,820,"Retired
",62466
13,86,"Active
",2495
14,876,"Active
",4420
15,897,"Active
",6814
16,9pasha,"Active
",1079009
17,@dogf1ghts,"Active
",174952
18,aabBAA,"Active
",12090
19,Ab1ng,"Active
",2362
20,Abed,"Active
",180000
21,Accel,"Active
",81486
22,Ace,"Active
",347511
23,Adam,"Active
",359101
24,AdmiralBulldog,"Retired
",627364
25,Admiration,"Inactive
",730
26,Adong,"Active
",6215
27,ADTR,"Active
",2284
28,Afoninje,"Active
",26195
29,AfrOmoush,"Active
",16383
30,AfterLife,"Active
",51661
31,Agressif,"Active
",862203
32,ah fu,"Active
",600909
33,Ahjit,"Active
",63150
34,Air,"Inactive
",39649
35,Akke,"Active
",637918
36,Alex,"Retired
",2030
37,ALOHADANCE,"Active
",150383
38,ALWAYSWANNAFLY,"Active
",204759
39,Ame,"Active
",661706
40,amoment,"Active
",269
41,ana,"Active
",607528
42,AnneeDroid,"Retired
",
43,Another,"Active
",2050
44,Apemother,"Inactive
",12024
45,Arise,"Active
",19371
46,Ariunbolor,"Active
",506
47,Armel,"Active
",46906
48,Arms,"Active
",73689
49,ARS-ART,"Retired
",83085
50,ArsZeeqq,"Active
",10867
51,Arteezy,"Active
",1287837
52,Artes,"Active
",19819
53,Artstyle,"Active
",356581
54,Attacker,"Active
",100
55,Atun,"Active
",10973
56,Atze,"Inactive
",969
57,Aui_2000,"Active
",1973100
58,AutumnWindz,"Active
",
59,Aville,"Active
",3340
60,Awoke,"Retired
",5000
61,Ax.Mo,"ActiveUCC Banned
",6587
62,Axx,"Active
",
63,Axypa,"Retired
",50
64,Ayesee,"Inactive
",
65,Ayo,"ActiveMars Media Banned
",63673
66,B,"Active
",8688
67,BafiK,"Active
",
68,Baga,"Active
",11269
69,Balsam,"Inactive
",1011
70,Banana,"Active
",1265530
71,BananaSlamJamma,"Active
",4390
72,baNhwA,"Inactive
",5884
73,Barash,"Inactive
",1260
74,bardo,"Active
",22149
75,Barry,,
76,Bashruk,"Active
",916
77,Basskip,"Active
",38
78,BBC,"Active
",
79,Bdiz,"Retired
",9014
80,Beesa,"Active
",7926
81,Ben,"Active
",8019
82,Benhur,"Active
",14119
83,Benjaz,"Active
",49408
84,Bignum,"Active
",14831
85,Bimbo,"Active
",67804
86,BinGo,"Active
",19106
87,Biryu,"Active
",1100
88,Biver,"Active
",33143
89,Black^,"Active
",238218
90,Blaze,"Active
",
91,Blazemon,"Active
",2034
92,bLink,"Active
",1959371
93,Blitz,"Active
",29320
94,Blizzy,"Active
",14463
95,Bloody Nine,"Active
",1800
96,blowyourbrain,"Active
",12594
97,BoBoKa,"Active
",428244
98,Bok,"Active
",12514
99,bOne7,"Active
",324446
100,Boombacs,"Active
",9085
101,boombell,"Active
",4160
102,Boris,"Active
",1900
103,Boxi,"Active
",
104,Brax,"Active
",29324
105,BreakyCPK,"Active
",
106,Bruno,"Inactive
",
107,bryle,"Active
",6500
108,bubu,"Active
",1381
109,bukka,"Active
",
110,BuLba,"Active
",197798
111,BungsellRotee,"Active
",4393
112,BurNIng,"Active
",869433
113,Buugi,"Active
",19344
114,BYB,"ActiveValve Banned
",9912
115,c4t,"Active
",44970
116,Cak3z,"Inactive
",1908
117,canceL^^,"Active
",18300
118,Capitalist,"Active
",40
119,Carn,"Inactive
",1352
120,carrot,"Active
",1294
121,CartMaN,"Active
",34867
122,CaspeRRR,"Active
",
123,Cast,"Active
",58879
124,CC&C,"Active
",116365
125,CemaTheSlayer,"Active
",98666
126,Chains,"Active
",5896
127,Chalice,"Active
",230605
128,Chao,"Inactive
",
129,ChaoYue,"Active
",15036
130,Chappie,"Active
",21685
131,Chessie,"Active
",107105
132,Chibix,"Active
",4275
133,chisbug,"Active
",47858
134,Chrillee,"Inactive
",3987
135,chshrct,"Active
",27305
136,ChuaN,"Active
",713484
137,Chuvash,"Active
",3713
138,Clairvoyance,"Active
",2800
139,ComeWithMe,"Active
",20859
140,Conrad,"Inactive
",
141,Cookie bear,"Active
",1000
142,Cooman,"Active
",7100
143,Corey,"Inactive
",29320
144,Costabile,"Active
",25711
145,Cr1t-,"Active
",1036163
146,craNich,"Active
",
147,Crazy,"Active
",15429
148,Crio_J,"Active
",1055
149,Crydasia,"Retired
",843
150,Crystallize,"Active
",54321
151,Cty,"Active
",375486
152,Cy,"Active
",629
153,Cyborgmatt,"Active
",
154,CyNiCaL,"Inactive
",6199
155,Cys,"Active
",4363
156,cYso,"Inactive
",400
157,dabeliuteef,"Inactive
",5944
158,DancingDragon,"Active
",180
159,dark,"Active
",34769
160,DD,"Inactive
",202660
161,ddc,"Active
",1298189
162,DDR,"Active
",5474
163,DDX-,"Retired
",1625
164,ddz,"ActiveValve Banned
",12317
165,DeMoN,"Retired
",198173
166,Dendi,"Active
",784820
167,destiny,"Active
",306
168,Ditya Ra,"Active
",112449
169,DJ,"Active
",568326
170,DkPhobos,"Active
",379539
171,dnz,"Active
",8104
172,Doctor,"Active
",3171
173,Dog_7,"Active
",782
